name,lat,lng,rating,user_ratings_total,address,id
IKEA瑞典餐廳 台中店,24.147041,120.6429056,4.4,1583,"Nantun District, Section 2, Xiangshang Road, 168號4 樓",
V DI JA,24.1319505,120.6444539,4.7,438,"Nantun District, 文心南五路一段321-3號",
新黑貓餐廳,24.1055178,120.5063638,4.1,1947,"No. 428號, Section 4, Zhangmei Road, Hemei Township",
石井屋日本料理 彰化店 (彰化市美食 restaurants 季節套餐 桌宴 母親節大餐 彰化餐廳 母親節聚餐 會議便當 彰化慶生 彰化必吃 彰化餐廳推薦 彰化美食 母親節外帶推薦 2021母親節 彰化母親節餐廳 母親節外帶 球隊聚餐 適合家庭聚餐 彰化母親節餐廳),24.0699196,120.5456314,4.5,961,"No. 112號, Zhongxing Road, Changhua City",
Asada Japanese house,24.0627396,120.5391781,4.6,3231,"No. 519, Yanping Road, Changhua City",
天利食堂 彰化中正店 彰化美食 | 日式鍋物 | 平價美食 | 家庭聚餐 | 推薦餐廳,24.0667697,120.535051,4.5,2347,"No. 689號, Section 2, Zhongzheng Road, Changhua City",
炙尊鐵板燒-台中無菜單鐵板燒 美食部落客推薦 下午茶餐廳 公司團體聚餐尾牙春酒,24.1399002,120.6503754,4.4,362,"No. 171, Section 2, Wuquan West Road, Nantun District",
霖園餐館- 江浙菜 桌菜 2021母親節 彰化母親節餐廳推薦 母親節禮物 慶祝母親節 彰化老店 彰化美食 彰化餐廳推薦 母親節大餐 彰化母親節 工商聚會 包廂 彰化家庭聚餐 彰化必吃 彰化餐廳 母親節外帶推薦 彰化同學會 老饕餐廳 適合家庭聚餐 彰化球隊聚餐 旅行社團餐 老店 彰化母親節 彰化母親節聚餐 适合聚餐的餐馆,24.0866228,120.548628,3.9,458,"No. 430-1號, Sanmin Road, Changhua City",
NINI 尼尼義大利餐廳 公益店,24.1510819,120.6520849,4.2,2056,"No. 18號, Section 2, Gongyi Road, Nantun District",
八蒔鐵板燒teppanyaki- 海鮮 牛排 聚餐 中平價 美食餐廳,24.1421167,120.6528442,4.7,633,"No. 217號, Section 2, Dongxing Road, Nantun District",
Yin Yue Restaurant,24.1516446,120.628506,4.1,1791,"No. 818號, Section 2, Gongyi Road, Nantun District",
Jen's Good Restaurant (Seafood),24.1484016,120.6440713,4.0,438,"No. 536號, Huiwen Road, Nantun District",
田庄私廚/台中美食/台中餐廳/台中美食推薦/台中餐廳推薦/烏日美食/烏日餐廳,24.0663981,120.6472525,4.5,269,"Wuri District, Lane 1121, Section 8, Huanzhong Road, 15弄76號",
東方喜悅蔬食料理(預約制)-純素食 中式餐廳 團體聚餐(健康養生 推薦必吃),24.1391119,120.6537503,4.9,588,"No. 101號, Dongxing East Street, Nantun District",
鵝媽媽美食餐廳有限公司,24.049111,120.5101611,2.9,7,"No. 80, Ping'an 1st Street, Xiushui",
Ming Fu Xiyan Restaurant,24.0740725,120.5310773,3.8,720,"No. 888號, Section 3, Jinma Road, Changhua City",
Mr.Taco 章魚先生品味小館 彰化餐廳/彰化美食/寵物友善/彰化餐廳推薦/彰化美食推薦,24.0807369,120.5355714,4.3,201,"No. 370號, Cixiu Road, Changhua City",
Annie's House義式風味料理(餐廳),24.1352688,120.6624199,3.9,331,"No. 60-2號, Wuquan 7th Street, West District",
澄鐵板燒-飯店內包廂式餐廳 生日 慶生 紀念日約會 商業午餐 求婚結婚餐廳推薦 彰化市餐廳美食 套餐,24.0693237,120.5454564,4.5,256,"Changhua City, Jianbao Street, 20號1樓",
Jin Huayuan Restaurant,24.1498729,120.6483347,4.1,575,"No. 271, Dadun 12th Street, Nantun District",
JAI 宅,24.1485219,120.6833604,4.3,3157,"North District, Section 3, Sanmin Road, 125號2樓",
ZEBRA義式餐廳,24.142595,120.6654758,4.1,322,"No. 601號, Yingcai Road, West District",
MARIPOSA Bistro 蝴蝶餐廳,24.1431878,120.6756232,4.8,112,"Central District, Minzu Road, 206號B1",
Ding Yuan Restaurant,24.1390982,120.6799969,4.3,201,"No. 71號, Minzu Road, Central District",
L'Affection 法森小館,24.1410224,120.6559595,4.5,1701,"No. 42號, Dazhong South Street, West District",
JL Studio 現代新加坡料理,24.1504866,120.6285139,4.4,403,"Nantun District, Yifeng Rd. Sec.4, 689號2樓",
Fanju Mandarin Restaurant,24.080795,120.6888485,4.6,285,"No. 320號, Dafeng Road, Dali District",
Human nature discus fish-themed restaurant,23.978495,120.688053,4.2,2166,"No. 100, Dacheng Street, Caotun Township",
漁人料理屋餐廳,24.1093302,120.6909855,4.0,767,"Dali District, Section 1, Dongrong Road, 69號新明路41號正對面",
The Corner Pasta,24.1471715,120.6843528,3.8,832,"No. 38, Alley 5, Lane 19, Taiping Road, North District",
天利食堂南投草屯店-草屯美食 | 日式鍋物 | 平價美食 | 家庭聚餐 | 多人聚餐餐廳|推薦餐廳,23.9788464,120.6880348,4.4,1326,"No. 108-1號, Dacheng Street, Caotun Township",
NU PASTA,24.1486965,120.6855769,4.6,1051,"North District, Zunxian Street, 9號2F",
哈燒庫美式餐廳 親子友善 團體聚會 家庭聚會 聖誕節聚餐 運動餐廳 同學會,24.1478342,120.663848,4.5,1772,"No. 109, Xiangshang North Road, West District",
晶饌海鮮鵝肉餐廳,24.0951473,120.6867267,4.8,16,"Dali District, 國光路一段1-5號",
"草屯美食餐廳,經典生活飲食,草屯簡餐咖啡",23.9753023,120.6865776,3.9,677,"No. 39號, Section 1, Mingxian St, Caotun Township",
Figarden,24.158021,120.6475527,4.5,1157,"No. 197號, Dadun 18th St, Xitun District",
Jinyuan Chinese Restaurant,24.1557083,120.6629791,4.6,438,"West District, Jianxing Road, 1049號15樓",
TGI FRIDAYS (Shizheng Rd. Branch),24.156091,120.645582,4.2,1929,"No. 16號, Shizheng Road, Xitun District",
forchetta 餐廳,24.1610893,120.6421895,4.3,564,"Xitun District, Huizhong 6th Street, 15號2樓",
Bagua Yao Restaurant,24.1626905,120.5984041,4.1,299,"No. 539, Section 3, Wuquan West Road, Nantun District",
